id,full_name,department_code,position,academic_degree,academic_title,orcid,google_scholar,scopus,web_of_science,profile_url
T-D001-A3A41669,Григор’єва Валентина Борисівна,D001,Старший викладач,Кандидатка педагогічних наук,Старший викладач,https://orcid.org/0000-0002-5533-3844,https://scholar.google.com.ua/citations?hl=uk&user=Tmv_6QcAAAAJ,,,https://www.kspu.edu/About/Faculty/FPhysMathemInformatics/ChairAlgGeomMathAnalysis/Staff.aspx
T-D001-63142DE7,Котова Ольга Володимирівна,D001,Доцент кафедри,Кандидатка фізико-математичних наук,Доцент,https://orcid.org/0000-0002-5533-3844,https://scholar.google.com.ua/citations?hl=uk&user=wyyy-XYAAAAJ,,https://www.webofscience.com/wos/author/rid/ABI-8418-2022,https://www.kspu.edu/About/Faculty/FPhysMathemInformatics/ChairAlgGeomMathAnalysis/Staff.aspx
T-D001-F0948F16,Кузьмич Валерій Іванович,D001,Професор кафедри,Кандидат фізико-математичних наук,Професор,https://orcid.org/0000-0002-8150-3456,https://scholar.google.com.ua/citations?user=VyFIWEUAAAAJ&hl=uk,https://www.scopus.com/authid/detail.uri?authorId=16483382500,https://www.webofscience.com/wos/author/record/AAL-9408-2020,https://www.kspu.edu/About/Faculty/FPhysMathemInformatics/ChairAlgGeomMathAnalysis/Staff.aspx
T-D001-CFF6B985,Кузьмич Людмила Василівна,D001,Доцент кафедри,Кандидатка педагогічних наук,Доцент,https://orcid.org/0000-0002-6727-9064,https://scholar.google.com.ua/citations?user=soPGAHYAAAAJ&hl=uk&authuser=1,https://www.scopus.com/authid/detail.uri?authorId=57224373102,https://www.webofscience.com/wos/author/record/AAL-8312-2020,https://www.kspu.edu/About/Faculty/FPhysMathemInformatics/ChairAlgGeomMathAnalysis/Staff.aspx
T-D001-FA996E5A,Плоткін Яків Давидович,D001,Доцент кафедри,Кандидат фізико-математичних наук,Доцент,https://orcid.org/0000-0002-5533-3844,,https://www.scopus.com/authid/detail.uri?authorId=16511257600,,https://www.kspu.edu/About/Faculty/FPhysMathemInformatics/ChairAlgGeomMathAnalysis/Staff.aspx
T-D001-297C382B,Савченко Олександр Григорович,D001,Професор кафедри,Доктор фізико-математичних наук,Професор,https://orcid.org/0000-0003-4687-5542,https://scholar.google.com.ua/citations?hl=uk&user=srZZnpQAAAAJ,https://www.scopus.com/authid/detail.uri?authorId=33467826600,https://www.webofscience.com/wos/author/record/AAD-9326-2019,https://www.kspu.edu/About/Faculty/FPhysMathemInformatics/ChairAlgGeomMathAnalysis/Staff.aspx
T-D001-342662D6,Савченко Сергій Олександрович,D001,Викладач,,Викладач,https://orcid.org/0000-0001-9706-5334,,https://www.scopus.com/authid/detail.uri?authorId=57741626400,,https://www.kspu.edu/About/Faculty/FPhysMathemInformatics/ChairAlgGeomMathAnalysis/Staff.aspx
T-D001-461C77CD,Таточенко Володимир Іванович,D001,Завідувач кафедри,Кандидат педагогічних наук,Доцент,https://orcid.org/0000-0002-8984-268X,https://scholar.google.com.ua/citations?hl=uk&user=GycNcfgAAAAJ,https://www.scopus.com/authid/detail.uri?authorId=57225910824,https://www.webofscience.com/wos/author/record/AFB-8838-2022,https://www.kspu.edu/About/Faculty/FPhysMathemInformatics/ChairAlgGeomMathAnalysis/Staff.aspx
T-D002-CFD7F2EA,Єрмакова-Черченко Наталія Олександрівна,D002,Доцент кафедри,Кандидатка педагогічних наук,Доцент,http://orcid.org/0000-0001-9438-4866,https://scholar.google.com.ua/citations?user=sh50Sh8AAAAJ&hl=ru,https://www.scopus.com/authid/detail.uri?authorId=57211298989,,https://www.kspu.edu/About/Faculty/FPhysMathemInformatics/ChairPhysics/Staff.aspx
T-D002-3F1C6DD9,Івашина Юрій Кирилович,D002,Доцент кафедри,Кандидат фізико-математичних наук,Доцент,https://orcid.org/0000-0001-9569-2393,https://scholar.google.com.ua/citations?hl=ru&user=WYFvXIEAAAAJ&view_op=list_works,https://www.scopus.com/authid/detail.uri?origin=AuthorProfile&authorId=6507605860&zone,,https://www.kspu.edu/About/Faculty/FPhysMathemInformatics/ChairPhysics/Staff.aspx
T-D002-C00072C7,Бабічев Сергій Анатолійович,D002,Професор кафедри,Доктор технічних наук,Професор,https://orcid.org/0000-0001-6797-1467,https://scholar.google.com.ua/citations?hl=ru&user=EOqNtgIAAAAJ,https://www.scopus.com/authid/detail.uri?authorId=57189091127,https://www.webofscience.com/wos/author/record/R-4502-2017,https://www.kspu.edu/About/Faculty/FPhysMathemInformatics/ChairPhysics/Staff.aspx
T-D002-EEDD608B,Гончаренко Тетяна Леонідівна,D002,Доцент кафедри,Кандидатка педагогічних наук,Доцент,https://orcid.org/0000-0002-2021-9320,https://scholar.google.com.ua/citations?user=MSJuZjYAAAAJ&hl=uk,https://www.scopus.com/authid/detail.uri?authorId=57209797050,,https://www.kspu.edu/About/Faculty/FPhysMathemInformatics/ChairPhysics/Staff.aspx
T-D002-F6BC2895,Зіновська Вікторія Олександрівна,D002,Асистент,,Асистент,,,,,https://www.kspu.edu/About/Faculty/FPhysMathemInformatics/ChairPhysics/Staff.aspx
T-D002-9C8C7F09,Кузьменков Сергій Георгійович,D002,Завідувач кафедри,Доктор педагогічних наук,Професор,https://orcid.org/0000-0002-5257-9523,https://scholar.google.com.ua/citations?hl=uk&user=lUBWIocAAAAJ,https://www.scopus.com/authid/detail.uri?authorId=57209792743,,https://www.kspu.edu/About/Faculty/FPhysMathemInformatics/ChairPhysics/Staff.aspx
T-D003-F71060EB,Єрмолаєв Вадим Анатолійович,D003,Доцент кафедри,Кандидат фізико-математичних наук,Доцент,,,,,https://www.kspu.edu/About/Faculty/FPhysMathemInformatics/ChairInformatics/Staff.aspx
T-D003-2510C805,Ільїна Інна Вікторівна,D003,Асистент,,Асистент,,,,,https://www.kspu.edu/About/Faculty/FPhysMathemInformatics/ChairInformatics/Staff.aspx
T-D003-0EFFA625,Азадова Елліна Валеріївна,D003,Викладач,,Викладач,,,,,https://www.kspu.edu/About/Faculty/FPhysMathemInformatics/ChairInformatics/Staff.aspx
T-D003-33F22A02,Валько Наталія Валеріївна,D003,Професор кафедри,Докторка педагогічних наук,Професор,,,,,https://www.kspu.edu/About/Faculty/FPhysMathemInformatics/ChairInformatics/Staff.aspx
T-D003-293954C4,Вейцбліт Олександр Йосипович,D003,Доцент кафедри,Кандидат фізико-математичних наук,Доцент,,,,,https://www.kspu.edu/About/Faculty/FPhysMathemInformatics/ChairInformatics/Staff.aspx
T-D003-FEB81DD4,Вінник Максим Олександрович,D003,Професор кафедри,Кандидат педагогічних наук,Професор,,,,,https://www.kspu.edu/About/Faculty/FPhysMathemInformatics/ChairInformatics/Staff.aspx
T-D003-C318CC49,Гнєдкова Ольга Олександрівна,D003,Доцент кафедри,Кандидатка педагогічних наук,Доцент,,,,,https://www.kspu.edu/About/Faculty/FPhysMathemInformatics/ChairInformatics/Staff.aspx
